NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACOT7	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	39	2.382443428039551	1.556041E-4	No	
row_1	NADK	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	104	2.229660749435425	-0.053098798	No	
row_2	PLCH2	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	146	2.2213194370269775	-0.061958686	No	
row_3	PANK4	pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]	157	2.2213194370269775	-0.010624399	No	
row_4	PIGL	phosphatidylinositol glycan anchor biosynthesis class L [Source:HGNC Symbol;Acc:HGNC:8966]	214	2.130510091781616	-0.05150289	No	
row_5	NPPB	natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]	377	2.0551846027374268	-0.30060583	Yes	
row_6	NPPA	natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]	378	2.0551846027374268	-0.23514567	Yes	
row_7	PFKP	"phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]"	435	2.017850399017334	-0.2796125	Yes	
row_8	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	440	2.0123255252838135	-0.22328445	Yes	
row_9	NMNAT1	nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]	447	2.0123255252838135	-0.17083989	Yes	
row_10	PARK7	Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369]	450	2.0123255252838135	-0.11062833	Yes	
row_11	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	452	2.0123255252838135	-0.04847503	Yes	
row_12	PIK3CD	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]"	455	2.0123255252838135	0.011736525	Yes	
row_13	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]	467	2.0123255252838135	0.054472353	Yes	
row_14	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	481	2.008535146713257	0.093203954	Yes	
