NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B3GALT6	"beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]"	105	2.229660749435425	-0.13212425	No	
row_1	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	179	2.1987686157226562	-0.20310679	No	
row_2	LIAS	lipoic acid synthetase [Source:HGNC Symbol;Acc:HGNC:16429]	263	2.1075875759124756	-0.29644138	Yes	
row_3	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	270	2.1075875759124756	-0.24026142	Yes	
row_4	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]	295	2.08150053024292	-0.21987249	Yes	
row_5	MFN2	mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]	315	2.0551846027374268	-0.19062176	Yes	
row_6	PLOD1	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]"	321	2.0551846027374268	-0.13418658	Yes	
row_7	VPS13D	vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]	335	2.0551846027374268	-0.09328538	Yes	
row_8	SDHB	succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]	379	2.0551846027374268	-0.11063661	Yes	
row_9	CLCN6	chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]	388	2.0551846027374268	-0.06002666	Yes	
row_10	MYH3	myosin heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:7573]	401	2.0401453971862793	-0.017667731	Yes	
row_11	NMNAT1	nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]	447	2.0123255252838135	-0.04028182	Yes	
row_12	SLC45A1	solute carrier family 45 member 1 [Source:HGNC Symbol;Acc:HGNC:17939]	460	2.0123255252838135	0.0011817589	Yes	
row_13	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	512	2.0046682357788086	-0.03332926	Yes	
row_14	MPDZ	multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208]	529	2.0009119510650635	-6.4028427E-9	Yes	
