sample_id	Tumor_type	cna	base_segments	break_points	fga	Sample Type	HRD34
TCGA-DX-A6YV-01A-12D-A350-01	Myxofibrosarcoma	188	2268574283	924	0.736520895	Primary Tumor	High
TCGA-DX-A6YV-10B-01D-A350-01	Myxofibrosarcoma	6	24345	24	6.82E-06	Blood Derived Normal	None
TCGA-DX-A6YX-01A-11D-A416-01	Myxofibrosarcoma	243	2293223141	978	0.780582152	Primary Tumor	High
TCGA-DX-A6YX-10B-01D-A419-01	Myxofibrosarcoma	9	163251	24	5.68E-05	Blood Derived Normal	None
TCGA-DX-AB2S-01A-11D-A38Y-01	Myxofibrosarcoma	96	46693455	240	0.015909282	Primary Tumor	Low
TCGA-DX-AB2S-10A-01D-A38Y-01	Myxofibrosarcoma	14	718003	44	1.41E-05	Blood Derived Normal	None
TCGA-DX-A6YR-01A-33D-A350-01	Myxofibrosarcoma	437	1729542196	1284	0.601940465	Primary Tumor	High
TCGA-DX-A6YR-10B-01D-A350-01	Myxofibrosarcoma	15	130352	32	4.48E-05	Blood Derived Normal	None
TCGA-DX-AB2L-01A-32D-A416-01	Myxofibrosarcoma	16	88318	50	3.07E-05	Primary Tumor	Low
TCGA-DX-AB2L-10A-01D-A419-01	Myxofibrosarcoma	7	52682	26	1.83E-05	Blood Derived Normal	None
TCGA-DX-A8BG-01A-12D-A416-01	Myxofibrosarcoma	216	1107320949	956	0.346818303	Primary Tumor	High
TCGA-DX-A8BG-10B-01D-A419-01	Myxofibrosarcoma	13	35777	42	1.01E-05	Blood Derived Normal	None
TCGA-DX-A6YQ-10A-01D-A33G-01	Myxofibrosarcoma	16	57215	44	1.99E-05	Blood Derived Normal	None
TCGA-DX-A6YQ-01A-12D-A33D-01	Myxofibrosarcoma	294	1998197200	906	0.660034821	Primary Tumor	High
TCGA-DX-AB32-01A-11D-A416-01	Myxofibrosarcoma	127	1009203104	516	0.351246569	Primary Tumor	High
TCGA-DX-AB32-10A-01D-A419-01	Myxofibrosarcoma	21	940493	60	0.000326726	Blood Derived Normal	None
TCGA-X6-A8C3-01A-11D-A36I-01	Myxofibrosarcoma	126	1185926910	574	0.409688292	Primary Tumor	High
TCGA-X6-A8C3-10A-01D-A36L-01	Myxofibrosarcoma	17	266288	48	2.52E-05	Blood Derived Normal	None
TCGA-DX-A6YT-01A-21D-A350-01	Myxofibrosarcoma	153	2266017403	888	0.760607122	Primary Tumor	Low
TCGA-DX-A6YT-10B-01D-A350-01	Myxofibrosarcoma	13	191032	38	6.65E-05	Blood Derived Normal	None
TCGA-DX-A6YS-01A-12D-A350-01	Myxofibrosarcoma	429	1654214526	1492	0.533909313	Primary Tumor	High
TCGA-DX-A6YS-10A-01D-A350-01	Myxofibrosarcoma	8	221105	22	7.70E-05	Blood Derived Normal	None
TCGA-DX-A6YZ-10B-01D-A350-01	Myxofibrosarcoma	11	466667	34	0.000161785	Blood Derived Normal	None
TCGA-DX-A6YZ-01A-12D-A350-01	Myxofibrosarcoma	207	1617318222	768	0.516167553	Primary Tumor	High
TCGA-DX-AB2T-01A-11D-A386-01	Myxofibrosarcoma	271	1351220996	1038	0.456903706	Primary Tumor	High
TCGA-DX-AB2T-10A-01D-A389-01	Myxofibrosarcoma	24	605430	62	0.00020652	Blood Derived Normal	None
TCGA-K1-A6RU-10A-01D-A32H-01	Myxofibrosarcoma	15	330286	38	8.87E-05	Blood Derived Normal	None
TCGA-K1-A6RU-01A-11D-A32H-01	Myxofibrosarcoma	217	783283391	938	0.271820587	Primary Tumor	High
TCGA-DX-A8BV-01A-11D-A37B-01	Myxofibrosarcoma	114	834532604	490	0.263754513	Primary Tumor	High
TCGA-DX-A8BV-10A-01D-A37E-01	Myxofibrosarcoma	19	3982804	44	0.001385841	Blood Derived Normal	None
TCGA-X6-A7W8-01A-21D-A350-01	Myxofibrosarcoma	305	1596799051	1128	0.513807392	Primary Tumor	High
TCGA-X6-A7W8-10A-01D-A350-01	Myxofibrosarcoma	11	671525	30	8.26E-05	Blood Derived Normal	None
TCGA-MJ-A68J-01A-11D-A306-01	Myxofibrosarcoma	31	175223535	80	0.060985426	Primary Tumor	Low
TCGA-MJ-A68J-10A-01D-A306-01	Myxofibrosarcoma	22	343152	48	0.000119432	Blood Derived Normal	None
TCGA-DX-AB2V-10A-01D-A419-01	Myxofibrosarcoma	7	8299313	16	0.002888262	Blood Derived Normal	None
TCGA-DX-AB2V-01A-11D-A416-01	Myxofibrosarcoma	372	1709168999	1506	0.594865065	Primary Tumor	High
TCGA-LI-A67I-01A-31D-A306-01	Myxofibrosarcoma	133	1395232752	394	0.434378068	Primary Tumor	High
TCGA-LI-A67I-10A-01D-A306-01	Myxofibrosarcoma	16	702513	42	0.000244505	Blood Derived Normal	None
TCGA-X6-A8C6-01A-11D-A36I-01	Myxofibrosarcoma	374	1348541362	1480	0.4322804	Primary Tumor	High
TCGA-X6-A8C6-10A-01D-A36L-01	Myxofibrosarcoma	7	43944	18	1.53E-05	Blood Derived Normal	None
TCGA-DX-A6YU-10A-01D-A33G-01	Myxofibrosarcoma	4	74297	14	2.59E-05	Blood Derived Normal	None
TCGA-DX-A6YU-01A-12D-A33D-01	Myxofibrosarcoma	197	2180651766	820	0.711085218	Primary Tumor	High
TCGA-DX-AB2E-01A-11D-A38Y-01	Myxofibrosarcoma	132	1201652776	550	0.417948808	Primary Tumor	High
TCGA-DX-AB2E-10A-01D-A38Y-01	Myxofibrosarcoma	9	322108	20	0.000112108	Blood Derived Normal	None
